id,sourceId,source,title,company,location,description,url,jobType,minSalary,maxSalary,fetchedAt,createdAt
cmnmda5vp01ac4q2edgrs2moi,5670955514,adzuna,Registered Nurse RN Neuro Trauma PRN,Henrico Doctors' Hospital,"Chamberlayne, Henrico County","Introduction Do you currently have an opportunity to make a real impact with your work? With over 2,000 sites of care and serving over 31.2 million patient interactions every year, nurses at Henrico Doctors' Hospital have the opportunity to make a real impact. As a(an) Progressive Neuro Trauma Registered Nurse RN you can be a part of change. Benefits Henrico Doctors' Hospital, offers a total rewards package that supports the health, life, career and retirement of our colleagues. The available p…",https://www.adzuna.com/land/ad/5670955514?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=C3B368D13A23B408D800FC78775FCFFED8A434C7,part_time,44331,44331,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5vm01ab4q2evg884pat,5428712615,adzuna,"Youth Development Specialist - Relocation to Hershey, PA Required",Milton Hershey School,"Highland Park, Lake County","Description: Located in Hershey, PA, Milton Hershey School (MHS) is a top-notch home and school where over 2,200 pre-K through 12th grade students from disadvantaged backgrounds are provided an extraordinary, cost-free, career-focused education. This is made possible by the generosity of Milton and Catherine Hershey, who established the school in 1909 and ensured it was fully endowed. Thanks to their foresight and generosity, the school has over 12,000 graduates and continues to expand to serve…",https://www.adzuna.com/land/ad/5428712615?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=C527C30801D038BA4C86FC9CDAA89E017FD552D1,full_time,73189,73189,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5vi01aa4q2e4khgg8vl,5428701775,adzuna,"House Parents - Relocation to Hershey, PA Required",Milton Hershey School,"Hale Center, Hale County","Description: Located in Hershey, PA, Milton Hershey School (MHS) is a top-notch home and school where over 2,200 pre-K through 12th grade students from disadvantaged backgrounds are provided an extraordinary, cost-free, career-focused education. This is made possible by the generosity of Milton and Catherine Hershey, who established the school in 1909 and ensured it was fully endowed. Thanks to their foresight and generosity, the school has over 12,000 graduates and continues to expand to serve…",https://www.adzuna.com/land/ad/5428701775?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=8389056419DB8489BB2CC3BC42E50894249E33D1,full_time,70949,70949,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5ve01a94q2eyqg1e072,5428699757,adzuna,"Houseparents - Relocation to Hershey, PA Required",Milton Hershey School,"Rio Dell, Humboldt County","Description: Located in Hershey, PA, Milton Hershey School (MHS) is a top-notch home and school where over 2,200 pre-K through 12th grade students from disadvantaged backgrounds are provided an extraordinary, cost-free, career-focused education. This is made possible by the generosity of Milton and Catherine Hershey, who established the school in 1909 and ensured it was fully endowed. Thanks to their foresight and generosity, the school has over 12,000 graduates and continues to expand to serve…",https://www.adzuna.com/land/ad/5428699757?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=ED0384A977C5EEB69F08B6E07715F34E2BC795AD,full_time,73275,73275,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5v901a84q2ev4xu33ve,5685231832,adzuna,Regional CDL A Drivers,Premier Transportation,"Garrett, DeKalb County","Regional Class A CDL Drivers - $1,800 - $2,000 weekly pay Dive into a career that offers a job and a lifestyle where your efforts are recognized, and your success is celebrated. At Premier, we’ve built a culture that supports our team on and off the road. If you're 22 or older, have a Class A CDL, and have at least one year of tractor-trailer experience, we want to hear from you! Apply today and see why many drivers have found their home at Premier Transportation. Let’s drive towards success to…",https://www.adzuna.com/land/ad/5685231832?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=11E6AA61D18D09802BD6010AD745129AE2F477BD,full_time,74537,74537,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5v301a74q2eetgevmh6,5685200702,adzuna,"Local CDL A Drivers: $1,000 Annual Longevity Bonus",Premier Transportation,US,"Local Class A CDL Drivers - $1,600 - $1,800 weekly pay Dive into a career that offers a job and a lifestyle where your efforts are recognized, and your success is celebrated. At Premier, we’ve built a culture that supports our team on and off the road. If you're 22 or older, have a Class A CDL, and have at least one year of tractor-trailer experience, we want to hear from you! Apply today and see why many drivers have found their home at Premier Transportation. Let’s drive towards success toget…",https://www.adzuna.com/land/ad/5685200702?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=DF3779319C8F949874728A281C4A9A263005F48E,full_time,64715,64715,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5v001a64q2eu8jwf6na,5428713736,adzuna,"House Parents - Relocation to Hershey, PA Required",Milton Hershey School,"Fremont, Sandusky County","Description: Located in Hershey, PA, Milton Hershey School (MHS) is a top-notch home and school where over 2,200 pre-K through 12th grade students from disadvantaged backgrounds are provided an extraordinary, cost-free, career-focused education. This is made possible by the generosity of Milton and Catherine Hershey, who established the school in 1909 and ensured it was fully endowed. Thanks to their foresight and generosity, the school has over 12,000 graduates and continues to expand to serve…",https://www.adzuna.com/land/ad/5428713736?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=A834F1DF6888096EB6849ED5A0C99960718E1425,full_time,74648,74648,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5uv01a54q2ea6scmjgv,5685232436,adzuna,Regional CDL A Drivers,Premier Transportation,"Thorntown, Boone County","Regional Class A CDL Drivers - $1,800 - $2,000 weekly pay Dive into a career that offers a job and a lifestyle where your efforts are recognized, and your success is celebrated. At Premier, we’ve built a culture that supports our team on and off the road. If you're 22 or older, have a Class A CDL, and have at least one year of tractor-trailer experience, we want to hear from you! Apply today and see why many drivers have found their home at Premier Transportation. Let’s drive towards success to…",https://www.adzuna.com/land/ad/5685232436?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=EDFF1904C55FB0F8A013C3A1715BA14A8DDC2DB0,full_time,75523,75523,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5us01a44q2eral7f6o1,5683442215,adzuna,Urology,AMN Healthcare,"Mishawaka, St. Joseph County","Job Description & Requirements Urology StartDate: ASAP Available Shifts: 8 Pay Rate: $550000.00 - $600000.00 Advance your urology career in a dynamic practice. A not-for-profit, multi-hospital health system seeks a Urologist to join a collaborative team. The incoming Urologist will be free to specialize in areas like Uro-Gyn, access state-of-the-art facilities, and enjoy a balanced schedule, including dedicated clinic and OR days. Don't miss out on this exceptional opportunity to advance your u…",https://www.adzuna.com/land/ad/5683442215?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=6F074B15FCCE4B43AFCB3F16D0D3911D59C6AD6F,,57239,57239,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
cmnmda5uo01a34q2eya0eybo6,5680814736,adzuna,Paramedic Basic (Medics Ambulance),AMR,"Lighthouse Point, Broward County","Job Description: Paramedic Basic - Medics Ambulance Service IMMEDIATE HIRING! PARAMEDIC FULL-TIME Opportunity Hourly rates starting at 22.40 DOE We’re hiring Paramedics that are passionate about delivering compassionate, high-quality service and basic, as well as advanced , patient care to our customers. Responsibilities: Assess each call situation to determine the best course of action while working with progressive Paramedic protocols. Utilize your Paramedic skills on medical equipment and pr…",https://www.adzuna.com/land/ad/5680814736?se=Gh9pjEMx8RGyzcm9L2Uavw&utm_medium=api&utm_source=62d5d149&v=81C10F8AC30F7934ACB1E4011F94363AD79C337D,full_time,27763,27763,Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time),Sun Apr 05 2026 18:02:48 GMT-0500 (Colombia Standard Time)
